loan_id,document_status,documents_on_file,last_checked_at
LN100000,complete,4,2026-03-06
LN100001,partial,6,2025-02-14
LN100002,complete,6,2026-01-09
LN100003,complete,0,2025-08-23
LN100004,complete,2,2025-08-13
LN100005,complete,4,2025-10-01
LN100006,pending_review,0,2026-09-06
LN100007,complete,4,2025-06-19
LN100008,complete,4,2025-08-14
LN100009,partial,1,2025-04-07
LN100010,complete,0,2025-02-21
LN100011,missing,2,2026-03-10
LN100012,complete,6,2025-07-10
LN100013,complete,3,2025-11-20
LN100014,partial,4,2026-11-01
LN100015,complete,2,2026-06-02
LN100016,complete,4,2025-02-06
LN100017,partial,6,2025-07-01
LN100018,complete,1,2025-08-17
LN100019,pending_review,3,2026-09-13
LN100020,complete,2,2026-02-17
LN100021,complete,4,2026-04-30
LN100022,partial,4,2025-07-19
LN100023,complete,4,2026-07-27
LN100024,complete,1,2025-10-06
LN100025,complete,6,2026-08-22
LN100026,complete,5,2025-06-19
LN100027,complete,3,2025-10-12
LN100028,complete,4,2025-08-12
LN100029,complete,1,2025-04-15
LN100030,complete,6,2026-04-16
LN100031,complete,4,2026-11-16
LN100032,complete,4,2025-09-04
LN100033,complete,2,2025-05-03
LN100034,complete,4,2025-10-27
LN100035,complete,1,2025-06-02
LN100036,pending_review,1,2025-09-28
LN100037,complete,6,2026-10-03
LN100038,complete,2,2026-05-28
LN100039,complete,3,2026-06-16
LN100040,complete,3,2026-07-18
LN100041,complete,3,2026-12-17
LN100042,missing,1,2026-05-26
LN100043,missing,6,2025-01-03
LN100044,pending_review,5,2026-04-30
LN100045,missing,3,2025-09-29
LN100046,complete,0,2026-10-11
LN100047,complete,3,2026-09-27
LN100048,complete,5,2025-09-14
LN100049,complete,6,2025-02-20
LN100050,partial,2,2026-03-02
LN100051,partial,3,2026-07-25
LN100052,complete,2,2026-09-17
LN100053,complete,5,2026-12-15
LN100054,complete,4,2026-10-23
LN100055,complete,4,2025-08-01
LN100056,complete,1,2026-08-26
LN100057,complete,6,2026-11-06
LN100058,complete,4,2026-07-16
LN100059,complete,2,2026-03-14
LN100060,complete,5,2026-03-10
LN100061,complete,4,2026-09-29
LN100062,complete,0,2025-04-04
LN100063,complete,3,2026-03-01
LN100064,partial,2,2025-12-02
LN100065,complete,5,2026-10-18
LN100066,complete,5,2025-12-14
LN100067,complete,0,2025-07-01
