loan_id,rule_violated,severity
(blank),missing_loan_id,critical
(blank),missing_loan_id,critical
(blank),missing_loan_id,critical
(blank),missing_loan_id,critical
(blank),missing_loan_id,critical
(blank),missing_loan_id,critical
(blank),missing_loan_id,critical
(blank),missing_loan_id,critical
(blank),missing_loan_id,critical
(blank),missing_loan_id,critical
(blank),missing_loan_id,critical
(blank),missing_loan_id,critical
(blank),missing_loan_id,critical
(blank),missing_loan_id,critical
(blank),missing_loan_id,critical
LN100209,duplicate_loan_id,high
LN100361,duplicate_loan_id,high
LN100785,duplicate_loan_id,high
LN101244,duplicate_loan_id,high
LN100497,duplicate_loan_id,high
LN100952,duplicate_loan_id,high
LN101205,duplicate_loan_id,high
LN100537,duplicate_loan_id,high
LN101250,duplicate_loan_id,high
LN101290,duplicate_loan_id,high
LN101172,duplicate_loan_id,high
LN100662,duplicate_loan_id,high
LN103012,duplicate_borrower_amount_origination,medium
LN103013,duplicate_borrower_amount_origination,medium
LN103014,duplicate_borrower_amount_origination,medium
LN103015,duplicate_borrower_amount_origination,medium
LN103016,duplicate_borrower_amount_origination,medium
LN103017,duplicate_borrower_amount_origination,medium
LN103018,duplicate_borrower_amount_origination,medium
LN103019,duplicate_borrower_amount_origination,medium
LN103020,duplicate_borrower_amount_origination,medium
LN103021,duplicate_borrower_amount_origination,medium
LN101073,invalid_date_format,high
LN100575,invalid_date_format,high
LN100513,invalid_date_format,high
LN101301,invalid_date_format,high
LN100886,invalid_date_format,high
LN101454,invalid_date_format,high
LN101290,invalid_date_format,high
LN101119,invalid_date_format,high
LN100897,invalid_date_format,high
LN101046,invalid_date_format,high
LN100232,invalid_date_format,high
LN100238,invalid_date_format,high
LN100153,maturity_before_origination,high
LN100642,maturity_before_origination,high
LN100461,maturity_before_origination,high
LN100458,maturity_before_origination,high
LN100094,maturity_before_origination,high
LN100883,maturity_before_origination,high
LN100535,maturity_before_origination,high
LN100049,maturity_before_origination,high
LN101259,maturity_before_origination,high
LN101475,maturity_before_origination,high
LN101072,negative_balance,critical
