loan_id,current_balance,payment_status,days_past_due,last_updated_at,servicer_name
LN100010,184422.28,current,56,2026-07-18,Northstar Mortgage Svc
LN100013,272425.62,closed_default,82,2025-11-04,Summit Home Loans
LN100016,544677.66,30_dpd,18,2025-06-02,Coastal Capital Servicing
LN100019,185141.27,90plus_dpd,44,2025-11-18,Meridian Loan Servicing
LN100022,201978.66,current,0,2026-10-07,Northstar Mortgage Svc
LN100024,580075.2,30_dpd,27,2025-10-20,Summit Home Loans
LN100033,168291.02,current,92,2025-07-17,BluePeak Servicing
LN100036,84423.68,current,0,2026-10-03,Coastal Capital Servicing
LN100041,77163.21,30_dpd,118,2025-10-22,Northstar Mortgage Svc
LN100044,400982.62,90plus_dpd,5,2025-11-22,BluePeak Servicing
LN100045,515782.47,closed_default,19,2025-03-18,Coastal Capital Servicing
LN100050,468423.89,30_dpd,11,2025-10-30,Northstar Mortgage Svc
LN100051,121460.41,current,0,2026-11-22,Coastal Capital Servicing
LN100070,78661.78,closed_default,49,2025-10-18,Summit Home Loans
LN100074,262563.25,closed_paid,0,2026-01-16,Summit Home Loans
LN100076,139549.97,closed_default,77,2026-06-25,Northstar Mortgage Svc
LN100077,129220.17,closed_paid,53,2025-07-11,BluePeak Servicing
LN100083,247026.18,closed_default,23,2026-05-27,BluePeak Servicing
LN100090,262277.53,90plus_dpd,110,2026-09-23,Meridian Loan Servicing
LN100091,526577.18,current,0,2025-02-19,Summit Home Loans
LN100092,134436.14,current,0,2026-07-18,Meridian Loan Servicing
LN100102,211444.93,current,0,2025-07-09,Coastal Capital Servicing
LN100105,466457.37,90plus_dpd,58,2026-08-01,Meridian Loan Servicing
LN100116,238766.25,current,0,2026-12-16,BluePeak Servicing
LN100120,259378.77,current,0,2026-05-18,Meridian Loan Servicing
LN100121,247237.89,60_dpd,56,2026-01-04,Northstar Mortgage Svc
LN100123,227624.99,30_dpd,92,2026-10-03,Meridian Loan Servicing
LN100125,608741.64,closed_paid,0,2025-01-28,Coastal Capital Servicing
LN100133,219442.86,closed_paid,64,2026-10-31,Coastal Capital Servicing
LN100135,164093.54,current,56,2025-05-01,Summit Home Loans
LN100136,463723.28,current,0,2026-06-11,Coastal Capital Servicing
LN100140,93906.97,current,0,2025-01-10,Meridian Loan Servicing
LN100143,179030.95,30_dpd,10,2026-09-01,BluePeak Servicing
LN100146,371832.76,90plus_dpd,44,2026-06-20,BluePeak Servicing
LN100149,192035.85,current,0,2025-10-17,Meridian Loan Servicing
LN100150,196873.76,90plus_dpd,3,2025-08-27,BluePeak Servicing
